2025-07-14T06:00:10.334Z | NET-4001 | INFO | NIDS-CORE-01 | 10.10.1.45 | 10.10.50.10 | TCP | 54321 | 443 | 4096 | 1 | ALLOW | Normal HTTPS internal traffic. User: jsmith. App: IntranetPortal.
2025-07-14T06:00:45.112Z | NET-4002 | INFO | NIDS-CORE-01 | 10.10.2.88 | 8.8.8.8 | UDP | 49201 | 53 | 128 | 1 | ALLOW | DNS query: office365.com. Normal business traffic.
2025-07-14T06:01:30.882Z | NET-4003 | WARNING | NIDS-DMZ-01 | 10.10.100.12 | 8.8.8.8 | UDP | 44301 | 53 | 512 | 60 | ALLOW | DNS TXT record queries: high frequency. Dest: suspicious-domain-xyz[.]com. Possible DNS tunneling. Sensor: NIDS-DMZ-01
2025-07-14T06:01:30.882Z | NET-4003 | WARNING | NIDS-DMZ-01 | 10.10.100.12 | 8.8.8.8 | UDP | 44301 | 53 | 512 | 60 | ALLOW | DNS TXT record queries: high frequency. Dest: suspicious-domain-xyz[.]com. Possible DNS tunneling. Sensor: NIDS-DMZ-01
2025-07-14T06:02:15.441Z | NET-4004 | HIGH | NIDS-CORE-01 | 10.10.3.201 | 45.152.66.201 | TCP | 52200 | 8080 | 1024 | 1 | BLOCK | Outbound to known C2 IP. Beacon interval: 30 min. First callback. INCIDENT: INC-20250714-0071
2025-07-14T06:03:00.334Z | NET-4005 | INFO | NIDS-CORE-01 | 10.10.4.77 | 172.16.10.5 | TCP | 50101 | 1433 | 2048 | 4 | ALLOW | SQL Server traffic. Normal ERP queries. App: SalesForce_ERP_v3.2.
2025-07-14T06:04:22.009Z | NET-4006 | HIGH | NIDS-CORE-01 | 10.10.5.201 | 10.10.20.15 | TCP | 49800 | 445 | 1536 | 1 | ALERT | SMB from SRV-BACKUP-01 to DC01. Unusual source. Correlates with ML-3007 (Mimikatz). LATERAL MOVEMENT.
2025-07-14T06:04:22.009Z | NET-4006 | HIGH | NIDS-CORE-01 | 10.10.5.201 | 10.10.20.15 | TCP | 49800 | 445 | 1536 | 1 | ALERT | SMB from SRV-BACKUP-01 to DC01. Unusual source. Correlates with ML-3007 (Mimikatz). LATERAL MOVEMENT.
2025-07-14T06:05:40.334Z | NET-4007 | CRITICAL | NIDS-CORE-01 | 10.10.7.150 | 203.0.113.88 | TCP | 49900 | 443 | 102400 | 1 | BLOCK | Large outbound HTTPS. 100KB to unknown host. User: mthompson. DLP correlation. POSSIBLE DATA EXFIL.
2025-07-14T06:06:10.778Z | NET-4008 | INFO | NIDS-CORE-01 | 10.10.9.14 | 10.10.50.20 | TCP | 62001 | 80 | 1024 | 2 | ALLOW | HTTP to internal app server. Normal. App: HR_Portal_v2.1.
2025-07-14T06:07:00.334Z | NET-4009 | WARNING | NIDS-DMZ-01 | 10.10.100.5 | 185.234.218.55 | TCP | 49000 | 443 | 51200 | 1 | BLOCK | Outbound from DMZ web server to bulletproof hosting. 50KB payload. Correlates with FW-2019.
2025-07-14T06:07:55.112Z | NET-4010 | HIGH | NIDS-CORE-01 | 198.18.55.100 | 10.10.0.1 | TCP | 0 | MULTI | 0 | 500 | ALERT | External port scan detected. 500 SYN packets in 30 sec. Ports: 1-1024 sequential scan. GEO: BR-SaoPaulo. IPS rule: PORTSCAN-EXT-001.
